block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,base,1,1983616,2854783,2854769,0,22166,0.7705,0,22166,301,14362,,,15053,24256,35638,86324,1788096726,113,ok
1,ours,1,1983616,2850201,950066,0,0,0.0,0,0,301,14537,,,15211,21191,32419,251546,1788096838,112,ok
2,ours,1,1983616,2850937,950319,0,0,0.0,0,0,301,14755,,,15348,21240,32099,83610,1788097122,112,ok
2,base,1,1983616,2854289,2854190,0,22449,0.7804,1,22448,303,13343,,,14254,21367,33491,53030,1788097235,113,ok
3,base,1,1983616,2854505,2854465,0,21967,0.7637,1,21967,300,10851,,,11420,21587,65018,617602,1788097520,113,ok
3,ours,1,1983616,2850880,950289,0,0,0.0,0,0,301,8847,,,9572,15511,24984,55539,1788097633,113,ok
4,ours,1,1983616,2849614,949867,0,0,0.0,0,0,300,10364,,,11130,16940,26825,43181,1788097916,112,ok
4,base,1,1983616,2854586,2854576,0,21968,0.7637,1,21968,302,9827,,,10415,17350,29827,2056525,1788098029,113,ok
5,base,1,1983616,2854423,2854328,0,22314,0.7757,1,22314,300,26950,,,27731,35607,48690,66244,1788098312,112,ok
5,ours,1,1983616,2850216,950055,0,0,0.0,0,0,301,16069,,,15701,21690,32154,1685073,1788098424,112,ok
6,ours,1,1983616,2850431,950140,0,0,0.0,1,0,302,14414,,,15103,22243,34861,53925,1788098708,112,ok
6,base,1,1983616,2854245,2854238,0,22233,0.7729,0,22233,300,14116,,,14844,22138,34397,77461,1788098820,112,ok
