block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,base,1,1983616,2854184,2853999,0,22290,0.775,0,22290,301,11530,,,12173,21406,39093,2188141,1788099617,113,ok
1,ours,1,1983616,2850663,950230,0,0,0.0,0,0,301,11485,,,12100,20663,32408,119426,1788099729,112,ok
2,ours,1,1983616,2849987,949995,0,0,0.0,0,0,300,10760,,,11371,18495,32545,67047,1788099842,113,ok
2,base,1,1983616,2854240,2854219,0,22510,0.7825,1,22510,300,10181,,,10733,18700,32119,61885,1788099954,112,ok
3,base,1,1983616,2854255,2854249,0,22552,0.7839,1,22552,301,11016,,,11675,19562,35625,65669,1788100067,112,ok
3,ours,1,1983616,2849803,949937,0,0,0.0,0,0,300,10259,,,10872,16953,27532,43748,1788100179,112,ok
4,ours,1,1983616,2850248,950038,0,0,0.0,0,0,301,10808,,,11463,18664,32743,59628,1788100292,113,ok
4,base,1,1983616,2853836,2853687,0,22499,0.7823,0,22499,302,10557,,,11171,17994,33949,1053691,1788100405,113,ok
5,base,1,1983616,2854426,2854308,0,22451,0.7804,0,22451,300,11770,,,12339,23680,65628,1637159,1788100517,112,ok
5,ours,1,1983616,2850531,950164,0,0,0.0,0,0,301,11308,,,12094,18232,29816,653120,1788100630,113,ok
6,ours,1,1983616,2850733,950242,0,0,0.0,0,0,300,12829,,,13494,19826,30692,50625,1788100744,114,ok
6,base,1,1983616,2854172,2854160,0,22570,0.7846,1,22570,302,17485,,,18371,25943,42757,2587223,1788100857,113,ok
7,base,1,1983616,2854732,2854718,0,22438,0.7799,0,22438,301,13110,,,13415,23948,207416,2094608,1788100970,113,ok
7,ours,1,1983616,2850101,950031,0,0,0.0,0,0,300,11253,,,11860,17873,29407,1300635,1788101082,112,ok
8,ours,1,1983616,2850594,950157,0,0,0.0,0,0,302,11829,,,12473,18727,29301,46721,1788101195,113,ok
8,base,1,1983616,2855346,2855239,0,22264,0.7737,0,22264,301,11471,,,12088,19343,34510,2030666,1788101307,112,ok
9,base,1,1983616,2854666,2854614,0,22157,0.7702,0,22157,301,12479,,,13147,20407,35715,876446,1788101420,113,ok
9,ours,1,1983616,2850579,950180,0,0,0.0,0,0,300,11539,,,12108,18299,31183,1475503,1788101532,112,ok
10,ours,1,1983616,2850939,950322,0,0,0.0,0,0,301,9279,,,9713,15823,26779,51345,1788101644,112,ok
10,base,1,1983616,2854210,2854195,0,22879,0.7952,0,22879,301,8605,,,9248,17807,33260,67503,1788101757,113,ok
11,base,1,1983616,2854059,2854050,0,22558,0.7842,0,22558,299,10042,,,10747,17849,31692,349421,1788101869,112,ok
11,ours,1,1983616,2850581,950187,0,0,0.0,1,0,300,10581,,,11237,18078,30795,54436,1788101982,112,ok
12,ours,1,1983616,2850774,950259,0,0,0.0,0,0,300,14029,,,16009,23437,35977,52279,1788102095,113,ok
12,base,1,1983616,2855382,2855337,0,22258,0.7735,0,22258,301,19121,,,19567,27469,42274,826500,1788102207,112,ok
