block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,late,1,1983616,3706012,3703003,0,49559,1.3197,0,49562,298,13466,,,14154,27763,59899,2875043,1788086841,105,ok
1,early,1,1983616,3703003,3702646,0,0,0.0,0,0,294,21077,,,21719,35680,54686,103415,1788086945,104,ok
2,early,1,1983616,3702532,3699313,0,227,0.0061,1,227,298,18325,,,18772,29178,53612,1940837,1788087050,105,ok
2,late,1,1983616,3705846,3701215,0,49135,1.3085,0,49135,299,12092,,,12696,26727,53237,92060,1788087155,105,ok
3,late,1,1983616,3705591,3701372,0,48967,1.3043,0,48967,299,14286,,,15106,24396,51553,2532612,1788087259,104,ok
3,early,1,1983616,3701833,3698038,0,0,0.0,1,0,295,14780,,,15584,25546,45066,94243,1788087364,105,ok
4,early,1,1983616,3701670,3699207,0,0,0.0,1,0,299,13846,,,14459,26800,45911,76086,1788087468,104,ok
4,late,1,1983616,3704886,3702318,0,49092,1.3078,2,49091,295,14801,,,15405,25161,46195,103491,1788087573,105,ok
5,late,1,1983616,3705373,3704147,0,48441,1.2905,1,48441,297,15242,,,15872,28852,62676,2487009,1788087677,104,ok
5,early,1,1983616,3702292,3700104,0,355,0.0096,0,355,298,14581,,,15084,24551,41977,78882,1788087782,105,ok
6,early,1,1983616,3701481,3697922,0,83,0.0022,2,82,295,13316,,,13824,23063,46930,1739996,1788087886,104,ok
6,late,1,1983616,3706943,3704828,0,48390,1.2886,0,48390,299,14005,,,14683,34430,96965,205677,1788087990,104,ok
