block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,off,1,1983616,3693421,0,0,17522,0.4722,0,17522,300,13410,,,13952,21152,37042,64481,1788110382,104,ok
1,trades,1,1983616,3693067,1230246,0,17716,0.4775,279,17438,299,11461,,,11936,19435,35596,59793,1788110487,105,ok
1,stagger,1,1983616,3693897,1218801,0,18412,0.4968,6091,12344,301,11366,,,11998,19765,334890,1926752,1788110592,105,ok
2,stagger,1,1983616,3700751,1219328,0,21028,0.5661,6836,14213,301,11842,,,12459,22524,334445,339123,1788110696,104,ok
2,trades,1,1983616,3693408,1230584,0,18819,0.507,301,18519,300,12448,,,13107,20725,35471,58059,1788110801,105,ok
2,off,1,1983616,3693359,0,0,19816,0.5337,0,19816,300,13266,,,13973,19800,31581,52849,1788110905,104,ok
3,off,1,1983616,3693846,0,0,17790,0.4793,0,17790,300,15941,,,16604,24061,43884,109599,1788111010,105,ok
3,trades,1,1983616,3692257,1229273,0,18428,0.4967,301,18127,300,16149,,,16782,24674,41272,70406,1788111114,104,ok
3,stagger,1,1983616,3696080,1222440,0,18297,0.4934,6001,12317,301,16077,,,16777,28022,338544,345164,1788111219,105,ok
4,stagger,1,1983616,3695288,1218142,0,18517,0.4995,6078,12460,301,16306,,,16922,25172,338826,342997,1788111323,104,ok
4,trades,1,1983616,3691311,1229731,0,19341,0.5213,332,19009,300,16855,,,17478,25318,40949,79796,1788111427,104,ok
4,off,1,1983616,3691297,0,0,18844,0.5079,0,18844,300,15671,,,16131,24041,38768,57866,1788111532,104,ok
5,off,1,1983616,3691973,0,0,18135,0.4888,0,18135,300,14079,,,14694,22200,37116,73121,1788111636,104,ok
5,trades,1,1983616,3693281,1228064,0,17765,0.4788,303,17464,300,14294,,,14991,25936,50622,2886419,1788111740,104,ok
5,stagger,1,1983616,3694532,1218047,0,19032,0.5134,6236,12817,300,13661,,,14247,22344,336087,340303,1788111845,105,ok
6,stagger,1,1983616,3692729,1216905,0,18812,0.5077,6109,12768,300,12955,,,13544,22064,336110,3432996,1788111949,104,ok
6,trades,1,1983616,3692284,1227650,0,18226,0.4913,299,17927,300,13781,,,14449,22221,37222,64941,1788112053,104,ok
6,off,1,1983616,3693320,0,0,19144,0.5157,0,19144,300,13759,,,14372,21792,43159,2559966,1788112158,105,ok
