block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,dup_on,1,1983616,3702352,3698798,0,0,0.0,0,0,295,12597,727,3267,13174,22835,44381,84611,1788088122,107,ok
1,dup_off,1,1983616,3701843,0,0,0,0.0,0,0,295,10099,705,2220,10834,24234,256950,548664,1788088229,107,ok
2,dup_off,1,1983616,3702425,0,0,0,0.0,0,0,292,11875,700,1566,12539,18921,36668,1132793,1788088336,107,ok
2,dup_on,1,1983616,3701646,3697359,0,319,0.0086,0,319,299,14508,732,4172,15246,29484,51729,96279,1788088444,108,ok
3,dup_on,1,1983616,3702376,3700628,0,304,0.0082,0,304,295,15621,720,3646,16277,28394,54444,2789548,1788088551,106,ok
3,dup_off,1,1983616,3702346,0,0,0,0.0,0,0,295,16712,710,2226,17335,27370,47099,86847,1788088658,107,ok
4,dup_off,1,1983616,3700905,0,0,0,0.0,0,0,295,14384,701,1586,14903,21291,33071,52838,1788088765,107,ok
4,dup_on,1,1983616,3702488,3699470,0,0,0.0,0,0,299,11725,723,4273,12156,24935,46822,81265,1788088872,107,ok
5,dup_on,1,1983616,3701084,3700026,0,149,0.004,0,149,295,10596,720,3541,11238,21590,42038,100439,1788088979,107,ok
5,dup_off,1,1983616,3701308,0,0,0,0.0,0,0,296,10908,729,2470,11495,18281,32105,270434,1788089086,107,ok
6,dup_off,1,1983616,3703186,0,0,0,0.0,0,0,295,9728,704,1825,10315,26672,56398,73464,1788089192,106,ok
6,dup_on,1,1983616,3702781,3698504,0,0,0.0,0,0,300,14322,911,4761,15186,28987,76568,2554685,1788089300,107,ok
