block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,dup_all,1,1983616,3702321,3698190,0,475,0.0128,1,474,300,15468,721,3458,16185,26495,51652,3876936,1788090293,108,ok
1,dup_trades,1,1983616,3701650,1232460,0,0,0.0,0,0,300,16513,710,2691,17159,29308,60684,79838,1788090400,107,ok
1,dup_off,1,1983616,3703367,0,0,0,0.0,0,0,300,15899,702,1566,16418,22397,33016,57942,1788090507,106,ok
2,dup_off,1,1983616,3701846,0,0,0,0.0,0,0,300,13484,702,1856,14152,25185,61415,3010407,1788090615,108,ok
2,dup_trades,1,1983616,3701772,1231256,0,0,0.0,1,0,300,9775,704,2192,10383,17626,31362,60247,1788090722,107,ok
2,dup_all,1,1983616,3701768,3701079,0,427,0.0115,1,427,300,12924,717,3424,13613,23721,50150,3629121,1788090829,107,ok
3,dup_all,1,1983616,3702353,3697968,0,0,0.0,0,0,300,12835,713,3432,13449,24113,44267,92916,1788090936,107,ok
3,dup_trades,1,1983616,3701530,1231517,0,0,0.0,0,0,300,12267,702,2179,12900,20603,44126,2668904,1788091043,107,ok
3,dup_off,1,1983616,3701201,0,0,0,0.0,0,0,300,11529,699,1584,12137,18656,31611,54855,1788091150,107,ok
4,dup_off,1,1983616,3701422,0,0,72,0.0019,0,72,300,11895,702,1567,12501,18427,30365,57688,1788091257,107,ok
4,dup_trades,1,1983616,3701831,1232039,0,0,0.0,0,0,300,11418,719,2165,12035,19191,34860,86172,1788091364,107,ok
4,dup_all,1,1983616,3701936,3698573,0,0,0.0,1,0,300,12498,737,3746,13148,23688,44411,91104,1788091471,107,ok
5,dup_all,1,1983616,3702247,3701670,0,0,0.0,0,0,300,11885,731,4306,12527,27104,61711,2991659,1788091578,107,ok
5,dup_trades,1,1983616,3702251,1231085,0,0,0.0,0,0,300,12889,700,2313,13627,21431,35709,66915,1788091685,107,ok
5,dup_off,1,1983616,3701022,0,0,0,0.0,0,0,300,12907,709,1996,13599,25477,58039,91090,1788091792,107,ok
6,dup_off,1,1983616,3701841,0,0,0,0.0,0,0,300,13397,716,2399,14056,23794,36795,83673,1788091899,107,ok
6,dup_trades,1,1983616,3702276,1231901,0,0,0.0,0,0,300,18095,707,2300,18782,26172,42041,96541,1788092008,110,ok
6,dup_all,1,1983616,3703359,3698857,0,0,0.0,0,0,300,14693,943,6391,15199,32247,69800,2519672,1788092116,107,ok
