block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,rotate,1,3967232,3721131,1237220,0,0,0.0,0,0,348,14565,,,15402,27982,68732,2739036,1788112328,96,ok
1,fixed,0,3967232,0,0,0,0,0.0,0,,349,14134,,,15670,24372,45502,188525,1788112423,95,no-data
2,fixed,0,3967232,0,0,0,0,0.0,0,,350,19068,,,20441,29286,45260,77915,1788112518,95,no-data
2,rotate,0,3967232,0,0,0,0,0.0,0,,349,8343,,,9067,17491,36277,268889,1788112613,95,no-data
3,rotate,0,3967232,0,0,0,0,0.0,0,,350,10693,,,11543,23696,46627,108877,1788112709,96,no-data
3,fixed,0,3967232,0,0,0,0,0.0,1,,351,11835,,,13686,24312,42242,118872,1788112804,95,no-data
4,fixed,0,3967232,0,0,0,57,0.0014,0,,350,16124,,,18816,11425692,12750802,13941744,1788112914,110,no-data
4,rotate,0,0,0,0,0,,,,,,,,,,,,,1788113083,169,no-data;short-run:0of2000000
5,rotate,1,3967232,3721459,1237544,0,0,0.0,0,,350,18765,,,20205,11128020,12202861,13551992,1788113178,95,ok
5,fixed,0,3967232,0,0,0,76,0.002,0,,350,17143,,,18219,29875,47582,108673,1788113274,96,no-data
6,fixed,1,3967232,3714800,1234174,0,0,0.0,0,0,351,13703,,,15353,23966,43820,473148,1788113369,95,ok
6,rotate,0,3967232,0,0,0,0,0.0,0,,350,14617,,,15504,24076,43813,131114,1788113464,95,no-data
