block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,rotate,0,5950848,0,0,0,0,0.0,,,1778,16374,,,18042,29944,110094,351274,1788115591,117,no-data
1,fixed,0,5950848,0,0,0,0,0.0,,,1542,19313,,,22973,33562,59951,311636,1788115709,118,no-data
2,fixed,0,5950848,0,0,0,78,0.002,,,1527,24083,,,27135,37261,65484,321200,1788115826,117,no-data
2,rotate,0,5950848,0,0,0,0,0.0,,,1499,24431,,,25778,36355,61002,295179,1788115944,118,no-data
3,rotate,0,5950848,0,0,0,0,0.0,,,1476,26707,,,28946,45670,304002,747099,1788116061,117,no-data
3,fixed,0,5950848,0,0,0,89,0.0024,,,1489,24515,,,28645,39498,101706,3058894,1788116178,117,no-data
4,fixed,0,5950848,0,0,0,71,0.0,0,,1440,19630,,,21260,34229,204532,3376238,1788116297,119,no-data
4,rotate,0,5950848,0,0,0,186,0.0033,,,1285,25017,,,26927,38162,132314,3630748,1788116414,117,no-data
5,rotate,0,5950848,0,0,0,76,0.002,,,1386,14331,,,15495,31317,370795,2410548,1788116531,117,no-data
5,fixed,0,5950848,0,0,0,0,0.0,,,1375,24112,,,27716,42857,303469,3511786,1788116649,118,no-data
6,fixed,0,5950848,0,0,0,0,0.0,,,1484,18022,,,21279,30786,223406,3587771,1788116766,117,no-data
6,rotate,0,5950848,0,0,0,0,0.0,,,1619,18090,,,19803,30846,63729,335429,1788116883,117,no-data
