block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,dup_all,1,1983616,3702641,3661574,0,18753,0.5065,18274,480,301,13213,736,3588,13802,24186,47820,3176363,1788105049,107,ok
1,dup_trades,1,1983616,3698142,1221628,0,18459,0.4975,6155,12304,300,12362,744,3380,13671,26054,192668,1455118,1788105157,108,ok
1,dup_off,1,1983616,3694856,0,0,18478,0.4977,0,18478,300,8507,716,2293,9340,18899,31662,81897,1788105264,107,ok
2,dup_off,1,1983616,3694000,0,0,18649,0.5024,0,18651,300,8482,748,1910,9394,18272,35596,205983,1788105371,107,ok
2,dup_trades,1,1983616,3695715,1221690,0,18786,0.5066,6141,12645,301,11435,725,2750,12041,20533,36052,78747,1788105479,108,ok
2,dup_all,1,1983616,3703328,3665188,0,18462,0.4985,18379,83,301,15064,928,4899,15722,29920,50807,96947,1788105591,112,ok
3,dup_all,1,1983616,3702549,3661424,0,18466,0.4987,18363,103,301,14486,741,3950,15183,27937,51051,86493,1788105698,107,ok
3,dup_trades,1,1983616,3697038,1221385,0,18635,0.5024,6225,12410,300,14759,733,3240,15440,26680,43202,98003,1788105805,107,ok
3,dup_off,1,1983616,3693636,0,0,18677,0.5031,0,18678,299,15498,716,1708,16213,23314,36979,62592,1788105912,107,ok
4,dup_off,1,1983616,3693199,0,0,18542,0.4996,0,18542,300,15897,711,1936,16462,25016,39836,59485,1788106020,107,ok
4,dup_trades,1,1983616,3696141,1221534,0,18614,0.5019,5959,12656,300,14695,722,2424,15108,23061,38696,278691,1788106127,107,ok
4,dup_all,1,1983616,3702486,3661548,0,18645,0.5036,18544,101,300,13816,751,3964,14452,26297,48516,92884,1788106234,107,ok
5,dup_all,1,1983616,3703639,3662756,0,18703,0.505,18498,205,300,13081,941,5466,13749,28078,64731,1879332,1788106341,107,ok
5,dup_trades,1,1983616,3696384,1220920,0,18451,0.4975,6159,12292,300,19973,717,2395,20792,28432,42862,63881,1788106448,107,ok
5,dup_off,1,1983616,3693319,0,0,18566,0.5002,0,18567,300,15368,714,1888,16115,23779,40414,103396,1788106560,112,ok
6,dup_off,1,1983616,3693163,0,0,18640,0.5022,0,18640,300,19027,717,1707,19738,26593,45839,2890674,1788106667,106,ok
6,dup_trades,1,1983616,3695788,1221149,0,18722,0.5049,6172,12550,300,17483,723,2644,18019,28188,45083,70262,1788106775,107,ok
6,dup_all,1,1983616,3703047,3665100,0,18223,0.4921,18066,157,304,15946,936,5546,16587,33487,72019,2556629,1788106882,107,ok
