block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,single,1,1983616,3701988,1231316,0,0,0.0,0,0,299,10359,731,4145,10980,31234,62082,87152,1788107048,107,ok
1,split,1,1983616,3701103,1231358,0,199,0.0054,0,199,301,12030,725,2923,13060,24516,49119,3237215,1788107155,107,ok
2,split,1,1983616,3699813,1232364,0,0,0.0,0,0,300,11317,728,2668,12329,20513,36907,59055,1788107262,107,ok
2,single,1,1983616,3701361,1231399,0,0,0.0,0,0,300,17377,739,3267,19091,30237,44570,95719,1788107370,108,ok
3,single,1,1983616,3700900,1231662,0,0,0.0,0,0,300,16741,722,2792,17368,27100,48940,2639087,1788107477,107,ok
3,split,1,1983616,3701161,1233392,0,0,0.0,0,0,305,15302,749,3903,16411,28295,44874,98421,1788107585,108,ok
4,split,1,1983616,3699856,1232261,0,300,0.0081,1,300,300,12010,729,2896,12999,23076,44625,3088568,1788107692,107,ok
4,single,1,1983616,3701154,1230644,0,0,0.0,0,0,301,9529,729,3389,10092,18095,34320,62368,1788107799,107,ok
5,single,1,1983616,3701743,1230959,0,0,0.0,0,0,300,8277,721,2417,8867,16915,35841,78723,1788107906,107,ok
5,split,1,1983616,3700982,1232092,0,0,0.0,0,0,300,5641,722,2743,6738,14747,42969,1686072,1788108013,107,ok
6,split,1,1983616,3701178,1232388,0,0,0.0,0,0,300,8093,725,2730,9250,17489,35348,84274,1788108120,107,ok
6,single,1,1983616,3700055,1230658,0,0,0.0,1,0,300,16852,724,2284,17625,25160,41949,84129,1788108228,107,ok
