block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,baseline,1,1983616,3704915,3700413,0,47582,1.2681,2,47582,300,11088,,,11606,21992,42611,76901,1788044410,104,ok
1,stagger,1,1983616,3705915,3702112,0,47516,1.266,154,47427,303,12012,,,12611,22441,40862,82387,1788044514,104,ok
2,stagger,1,1983616,3705713,3702538,0,47570,1.2675,128,47507,303,11939,,,12726,24121,43664,75619,1788044618,104,ok
2,baseline,1,1983616,3705180,3703684,0,47729,1.2719,2,47730,299,14537,,,15073,25269,44896,442213,1788044723,105,ok
3,baseline,1,1983616,3705526,3700921,0,47462,1.2647,1,47461,299,14804,,,15519,25365,43895,72880,1788044827,104,ok
3,stagger,1,1983616,3705317,3700649,0,48049,1.2803,193,47924,300,18633,,,19435,30612,54390,2412727,1788044931,104,ok
4,stagger,1,1983616,3705856,3704640,0,47494,1.2654,128,47430,300,13267,,,14595,25448,44136,71155,1788045035,104,ok
4,baseline,1,1983616,3704566,3701562,0,47397,1.2634,1,47396,299,16524,,,16938,26380,54620,2393089,1788045139,104,ok
5,baseline,1,1983616,3704351,3699919,0,47521,1.2667,0,47521,300,12701,,,13252,22475,43428,88976,1788045244,105,ok
5,stagger,1,1983616,3704711,3702895,0,48231,1.2852,206,48090,300,12682,,,13466,23282,49997,3095381,1788045348,104,ok
6,stagger,1,1983616,3705343,3700597,0,47608,1.2686,130,47543,303,14048,,,15048,28190,49207,71621,1788045452,104,ok
6,baseline,1,1983616,3704505,3700235,0,47712,1.2717,1,47712,299,13289,,,14015,23549,56784,3402459,1788045556,104,ok
