config,rep,samples,p50,p90,p99,p99.9,p99.99,p99.999
udp+udp,1,39836160,43754,50039,54607,65433,509795,1045546
udp+udp,2,39836160,43965,50238,54783,65781,581822,963427
udp+udp,3,39836160,44717,50990,55594,68063,1398568,14045018
iouring+udp,1,39836160,42246,48709,56221,68933,940753,14242686
iouring+udp,2,39836160,39869,46321,53862,65889,195544,854378
iouring+udp,3,39836160,41306,48169,55764,67218,134340,955016
sqpoll+udp,1,39836160,41718,47629,52197,63049,115147,1044217
sqpoll+udp,2,39836160,41794,47657,52105,62042,97812,838994
sqpoll+udp,3,39836160,42666,48590,53186,64567,872363,16565548
udp+iouring,1,39836160,78429,99520,131249,289987,1051375,2271483
udp+iouring,2,39836160,73688,94797,128449,319255,3527546,15851556
udp+iouring,3,39836160,71941,92931,117737,268012,970926,1330491
iouring+iouring,1,39836160,72050,92717,123596,299928,3579304,15962682
iouring+iouring,2,39836160,72983,93651,122618,310813,4190815,5623273
iouring+iouring,3,39836160,74029,94630,118568,287412,2168473,10151956
