offset,latency_ns,wire_ns
-20,35333,34645
-19,35101,34380
-18,35445,34767
-17,36603,35926
-16,35314,34441
-15,34424,33756
-14,34663,33966
-13,34833,34132
-12,34157,33400
-11,34206,33587
-10,34452,33846
-9,34907,34283
-8,35293,34553
-7,35554,34808
-6,34524,33900
-5,35872,35238
-4,34213,33444
-3,34915,34197
-2,36688,36130
-1,34804,34279
0,1961160,1960424
1,1956839,1956271
2,1952387,1951661
3,1947840,1947056
4,1943182,1942633
5,1938731,1938159
6,1934203,1933530
7,1929694,1928877
8,1925031,1924117
9,1920496,1919829
10,1915831,1915285
11,1911440,1910734
12,1907114,1905985
13,1902595,1901908
14,1897983,1897339
15,1893354,1892812
16,1888679,1887956
17,1884590,1883857
18,1879961,1879248
19,1875611,1874672
20,1870948,1870154
21,1866489,1865780
22,1861934,1861317
23,1857262,1856777
24,1852853,1852085
25,1848523,1847780
26,1843885,1843212
27,1839393,1838419
28,1834883,1834063
29,1830277,1829793
30,1825872,1825209
31,1821520,1820630
32,1816992,1816092
33,1812472,1811747
34,1807920,1807330
35,1803312,1802739
36,1798952,1797869
37,1794509,1793725
38,1789764,1789216
39,1785370,1784642
40,1780821,1780078
41,1776284,1775751
42,1771758,1771107
43,1767352,1766566
44,1762834,1762094
45,1758282,1757464
46,1753737,1753042
47,1749141,1748561
48,1744593,1743915
49,1740245,1739502
50,1735627,1734921
51,1731049,1730380
52,1726425,1725688
53,1722051,1721466
54,1717551,1716868
55,1713012,1712267
56,1708717,1707690
57,1704040,1703467
58,1699659,1699056
59,1695219,1694642
60,1690842,1689902
61,1686432,1685683
62,1681773,1681157
63,1677496,1676780
64,1672901,1672115
65,1668511,1667828
66,1663847,1663385
67,1659311,1658762
68,1654910,1654146
69,1650164,1649551
70,1645616,1645008
71,1641059,1640462
72,1636611,1635774
73,1632320,1631678
74,1627680,1627040
75,1623147,1622468
76,1618474,1617941
77,1614063,1613485
78,1609555,1608877
79,1605173,1604284
80,1600713,1599907
81,1596147,1595570
82,1591612,1591036
83,1587022,1586390
84,1582517,1581607
85,1577880,1577347
86,1573486,1572777
87,1568972,1568366
88,1564608,1563973
89,1560118,1559525
90,1555661,1555072
91,1551394,1550567
92,1546731,1545922
93,1542198,1541485
94,1537539,1536989
95,1532927,1532333
96,1528371,1527359
97,1523870,1523175
98,1519465,1518721
99,1514716,1514249
100,1510115,1509609
101,1505618,1504957
102,1501135,1500465
103,1496824,1495981
104,1492461,1491646
105,1487882,1487133
106,1483260,1482630
107,1478844,1478066
108,1474310,1473402
109,1469601,1469002
110,1465071,1464453
111,1460471,1459869
112,1455791,1455140
113,1451700,1450972
114,1447080,1446324
115,1442447,1441833
116,1437799,1437251
117,1433673,1432856
118,1429299,1428683
119,1424827,1424069
120,1420131,1419331
121,1415564,1415018
122,1411092,1410510
123,1406636,1406013
124,1402276,1401357
125,1397837,1397050
126,1393324,1392496
127,1388746,1388103
128,1384120,1383412
129,1379577,1378756
130,1374968,1374365
131,1370397,1369709
132,1365921,1364968
133,1361375,1360717
134,1356825,1356158
135,1352220,1351587
136,1347609,1346704
137,1343163,1342491
138,1338958,1338066
139,1334235,1333686
140,1329616,1328929
141,1325187,1324508
142,1320631,1319986
143,1316120,1315424
144,1311550,1310680
145,1306871,1306315
146,1302339,1301664
147,1297777,1297116
148,1293311,1292662
149,1288586,1288145
150,1284453,1283786
151,1279659,1279314
152,1275246,1274640
153,1270710,1269960
154,1266062,1265466
155,1261502,1260836
156,1256965,1256062
157,1252395,1251767
158,1247741,1247147
159,1243259,1242556
160,1238661,1237893
161,1234169,1233498
162,1229769,1228854
163,1225135,1224546
164,1220451,1219913
165,1215903,1215227
166,1211358,1210689
167,1206669,1206103
168,1202253,1201375
169,1197817,1197092
170,1193164,1192460
171,1188541,1187869
172,1184012,1183118
173,1179375,1178779
174,1174921,1174168
175,1170250,1169656
176,1165727,1164935
177,1161186,1160449
178,1156504,1155893
179,1151971,1151348
180,1147463,1146732
181,1142970,1142294
182,1138180,1137740
183,1133705,1133093
184,1129114,1128123
185,1124594,1123918
186,1120105,1119410
187,1115480,1114864
188,1110801,1110259
189,1106413,1105587
190,1101752,1101165
191,1097059,1096643
192,1092579,1091775
193,1088117,1087545
194,1083460,1082923
195,1078968,1078293
196,1074304,1073715
197,1069963,1069307
198,1065529,1064646
199,1060997,1060357
200,1056468,1055667
201,1051922,1051288
202,1047260,1046672
203,1042858,1042018
204,1038286,1037335
205,1033761,1033136
206,1029136,1028520
207,1024666,1024011
208,1020001,1019218
209,1015668,1014909
210,1011045,1010373
211,1006464,1005875
212,1001978,1001315
213,997618,996829
214,992820,992391
215,988438,987832
216,983846,983070
217,979392,978732
218,974908,974129
219,970233,969250
220,965565,964810
221,961053,960466
222,956597,955836
223,952115,951408
224,947617,946911
225,943119,942458
226,938446,937933
227,934015,933328
228,929587,928662
229,925127,924420
230,920501,919860
231,915871,915272
232,911926,911406
233,907869,906892
234,903278,902663
235,898916,898113
236,894225,893462
237,889778,889054
238,885175,884519
239,880515,879941
240,875921,875187
241,871500,870757
242,866858,866136
243,862087,861562
244,857509,856957
245,853010,852418
246,848461,847845
247,844273,843377
248,839748,838807
249,835125,834520
250,830544,829979
251,825959,825345
252,821537,820558
253,817107,816334
254,812572,811806
255,807877,807326
256,803171,802457
257,798603,798079
258,794012,793420
259,789632,788760
260,785179,784245
261,780564,779861
262,775948,775397
263,771280,770690
264,766870,765900
265,762329,761645
266,757810,757115
267,753259,752594
268,748585,747897
269,744064,743396
270,739758,739086
271,735226,734553
272,730694,729816
273,726003,725353
274,721458,720790
275,717038,716219
276,712392,711814
277,707867,707268
278,703319,702744
279,699029,698237
280,694405,693706
281,689819,689255
282,685403,684815
283,680852,680194
284,676266,675600
285,672015,670921
286,667302,666698
287,662684,662149
288,658262,657402
289,653820,653051
290,649206,648472
291,644546,643880
292,639957,639307
293,635305,634790
294,630977,630110
295,626301,625612
296,621797,620881
297,617357,616676
298,612706,612127
299,607975,607537
300,603582,602801
301,599016,598365
302,594468,593768
303,590065,589253
304,585426,584753
305,580848,580304
306,576552,575762
307,572047,571262
308,567491,566577
309,562882,562166
310,558343,557639
311,553710,553041
312,549295,548224
313,544881,544144
314,540229,539604
315,535605,535007
316,531039,530287
317,526378,525778
318,521882,521307
319,517311,516731
320,512743,511985
321,508191,507461
322,503658,502929
323,499015,498417
324,494378,493562
325,489840,489155
326,485266,484597
327,480680,480001
328,476197,475328
329,471566,470953
330,466863,466237
331,462449,461674
332,458014,457157
333,453479,452780
334,448872,448232
335,444357,443741
336,439767,438995
337,435323,434569
338,430678,430080
339,426102,425399
340,421623,420952
341,417265,416497
342,412436,411896
343,408059,407424
344,403505,402815
345,398945,398270
346,394280,393744
347,389731,389094
348,385051,384477
349,380542,379872
350,376025,375275
351,371511,370876
352,366909,366215
353,362323,361663
354,357670,357029
355,353302,352517
356,348767,348037
357,344248,343509
358,339621,339012
359,335014,334333
360,330707,329653
361,326262,325507
362,321702,321084
363,317107,316511
364,312555,311957
365,308155,307640
366,303694,302970
367,298987,298400
368,294463,293785
369,289970,289330
370,285293,284781
371,280871,280139
372,276303,275593
373,271882,271051
374,267140,266538
375,262709,262003
376,258121,257352
377,253576,252940
378,249184,248380
379,244571,243895
380,239873,239333
381,235399,234781
382,230787,230162
383,226173,225510
384,221849,221019
385,792846,792147
386,788724,788117
387,784450,783818
388,780155,779540
389,775942,775352
390,771826,771015
391,767553,766914
392,763280,762584
393,758833,758017
394,754639,753691
395,750424,749572
396,745949,745038
397,741669,740992
398,737347,736808
399,733058,732249
400,728596,727714
401,724312,723664
402,720256,719535
403,720578,715293
404,718541,717846
405,714482,713549
406,710339,709744
407,706338,705559
408,701892,701036
409,697909,697379
410,693718,693038
411,689636,688825
412,685529,684866
413,681190,680487
414,676949,676346
415,672652,671988
416,668298,667509
417,664198,663478
418,659828,659207
419,655540,654913
420,651153,650247
