receivers,receiver,p50,p99,p99.9,p99.99
1,0,32569,41701,246853,962770
2,0,40684,47974,59094,76621
2,1,39901,46589,86214,838325
3,0,34633,41034,61977,839307
3,1,37749,46212,57726,821758
3,2,37262,43356,54169,69419
10,0,41987,49954,58333,625808
10,1,42920,50832,60796,77894
10,2,44869,52668,60892,73691
10,3,44835,52504,59423,70898
10,4,47076,55255,63392,82250
10,5,48569,56666,67742,360243
10,6,51012,60657,67940,91929
10,7,51097,59582,68114,636503
10,8,51113,58843,72798,989998
10,9,53633,61555,68207,79316
