bin_low_ns,bin_high_ns,count
33076,33372,334
33372,33668,15141
33668,33964,204197
33964,34260,1042152
34260,34557,2632076
34557,34853,4184018
34853,35149,5516164
35149,35445,6692169
35445,35742,7170161
35742,36038,6684918
36038,36334,5834996
36334,36630,4892645
36630,36927,3896782
36927,37223,2949698
37223,37519,2187300
37519,37815,1613932
37815,38111,1178178
38111,38408,844951
38408,38704,593212
38704,39000,414406
39000,39296,286289
39296,39593,200037
39593,39889,138282
39889,40185,97652
40185,40481,71158
40481,40778,55285
40778,41074,45298
41074,41370,40646
41370,41666,37608
41666,41963,35483
41963,42259,32525
42259,42555,28492
42555,42851,24621
42851,43147,21802
43147,43444,19642
43444,43740,17626
43740,44036,16556
44036,44332,15303
44332,44629,14529
44629,44925,13784
44925,45221,13066
45221,45517,12146
45517,45814,11442
45814,46110,10611
46110,46406,9913
46406,46702,9095
46702,46998,8185
46998,47295,7216
47295,47591,6698
47591,47887,5846
47887,48183,5409
48183,48480,4911
48480,48776,4356
48776,49072,3948
49072,49368,3614
49368,49665,3251
49665,49961,3029
49961,50257,2825
50257,50553,2696
50553,50850,2598
