block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,off,1,783616,1230385,0,0,1919,0.1557,0,1919,286,33905158,1242,2705,33905871,34011968,34203793,34371290,1787823370,123,ok
1,on,1,783616,1230096,1230090,0,2067,0.1678,1732,2136,284,33993433,1298,3045,33993916,34440813,35361218,35463814,1787823491,121,ok
2,on,1,783616,1230021,1230014,0,2081,0.1689,41009,2081,287,34244338,1310,2432,34244964,34267834,34365115,34492356,1787824399,121,ok
2,off,1,783616,1230377,0,0,1922,0.156,0,1922,296,34003321,1234,3348,34004109,34245147,35644206,38605397,1787824522,123,ok
3,off,1,783616,1230500,0,0,1947,0.158,0,1947,292,34413452,1147,3785,34414189,35177276,36989347,37499114,1787825431,122,ok
3,on,1,783616,1230245,1229890,0,2392,0.1941,1222392,2082,282,34480232,1308,2882,34481292,35252174,35654910,35906611,1787825554,123,ok
4,on,1,783616,1230084,1230084,0,2070,0.168,99637,2070,284,33859920,1170,2766,33859983,33946361,34525893,34956686,1787826461,122,ok
4,off,1,783616,1230419,0,0,1911,0.1551,0,1911,427,34684050,1213,2660,34684935,36314740,38086164,38874464,1787826583,122,ok
5,off,1,783616,1230424,0,0,1914,0.1553,0,1914,293,34400822,1216,2770,34401565,34481340,34734283,35037316,1787827492,123,ok
5,on,1,783616,1230118,1230118,0,2096,0.1701,4790,2095,298,33838326,1174,2938,33838866,34233801,34704075,35118454,1787827614,122,ok
6,on,1,783616,1230068,1230090,0,2096,0.1701,1227823,2153,286,34030751,1331,3005,34031347,34414794,35209649,35406572,1787828525,123,ok
6,off,1,783616,1230414,0,0,1941,0.1575,0,1941,396,33572887,1162,3384,33573669,33891179,34526089,35100522,1787828648,123,ok
