metric,reference_median,median_diff,lo,hi,n_blocks,sign_p,null_spread,cross_host,resolved
loss_pct,,0.0129,0.0121,0.0361,6,0.03125,0.0029,0,1
undelivered,,170.0,135.0,217.0,6,0.03125,36.0,0,1
shm_p50,,-9.5,-143.0,5.0,6,0.21875,141.0,0,0
rx_delivery_p50,,66.0,-43.0,169.0,6,0.6875,95.0,0,0
rx_delivery_p99,,-136.5,-916.0,340.0,6,1.0,1125.0,0,0
wire_p50,,77527.5,-824130.0,457864.0,6,0.6875,1111163.0,1,0
e2e_p50,,77574.0,-824952.0,457678.0,6,0.6875,1111266.0,1,0
e2e_p99,,48792.5,-2368379.0,523615.0,6,0.6875,2423561.0,1,0
e2e_p999,,-654649.5,-3560271.0,1157425.0,6,0.6875,3882371.0,1,0
e2e_p9999,,-755682.5,-4113041.0,1092524.0,6,1.0,4503174.0,1,0
