rep,position,fraction,latency_ns,outlier
1,0,0.0,34235,0
1,7996,0.0004,35530,0
1,9814,0.000491,64654,1
1,15993,0.0008,34666,0
1,23989,0.0012,35161,0
1,26690,0.001336,133581,1
1,26691,0.001336,129430,1
1,26692,0.001336,125153,1
1,26693,0.001336,121198,1
1,26694,0.001336,116903,1
1,26695,0.001336,112443,1
1,26696,0.001336,108176,1
1,26697,0.001336,104522,1
1,26698,0.001336,100171,1
1,26699,0.001336,95698,1
1,26700,0.001336,91416,1
1,26701,0.001336,87078,1
1,26702,0.001336,83093,1
1,26703,0.001336,78735,1
1,26704,0.001336,74289,1
1,26705,0.001336,70303,1
1,26706,0.001336,66250,1
1,31986,0.001601,34222,0
1,33758,0.001689,67556,1
1,39983,0.002001,34667,0
1,47979,0.002401,35543,0
1,55976,0.002801,35759,0
1,63973,0.003201,37464,0
1,71969,0.003601,34843,0
1,79966,0.004002,35203,0
1,87963,0.004402,34937,0
1,95959,0.004802,36302,0
1,103956,0.005202,35257,0
1,111953,0.005602,34230,0
1,119949,0.006002,34654,0
1,127946,0.006403,34858,0
1,135942,0.006803,37447,0
1,143513,0.007182,71958,1
1,143514,0.007182,67489,1
1,143939,0.007203,34498,0
1,151936,0.007603,34610,0
1,159932,0.008003,34500,0
1,167929,0.008403,35768,0
1,172747,0.008644,65703,1
1,172748,0.008644,64764,1
1,172750,0.008645,64243,1
1,172756,0.008645,72102,1
1,172757,0.008645,67558,1
1,174882,0.008751,73571,1
1,174883,0.008751,69184,1
1,174884,0.008751,64558,1
1,175926,0.008804,35482,0
1,179650,0.00899,67641,1
1,183474,0.009181,68899,1
1,183475,0.009181,64201,1
1,183922,0.009204,34856,0
1,191919,0.009604,35036,0
1,199916,0.010004,35298,0
1,207912,0.010404,35621,0
1,209071,0.010462,66800,1
1,215909,0.010804,35016,0
1,220771,0.011048,64727,1
1,223906,0.011204,34542,0
1,229634,0.011491,74282,1
1,229635,0.011491,69665,1
1,229636,0.011491,65184,1
1,231902,0.011605,36540,0
1,238557,0.011938,64391,1
1,239899,0.012005,35032,0
1,247895,0.012405,36089,0
1,253777,0.012699,65492,1
1,255892,0.012805,35053,0
1,262678,0.013145,65153,1
1,263889,0.013205,34198,0
1,271885,0.013605,34341,0
1,275113,0.013767,65918,1
1,279882,0.014006,35662,0
1,281652,0.014094,66984,1
1,281653,0.014094,66839,1
1,287879,0.014406,34775,0
1,295875,0.014806,35618,0
1,303872,0.015206,35273,0
1,311869,0.015606,37694,0
1,319865,0.016006,35489,0
1,324443,0.016235,68803,1
1,324444,0.016236,64181,1
1,327862,0.016407,34892,0
1,335859,0.016807,34928,0
1,343855,0.017207,36718,0
1,351852,0.017607,35106,0
1,358902,0.01796,71804,1
1,358903,0.01796,67334,1
1,359849,0.018007,35014,0
1,367845,0.018407,35706,0
1,375842,0.018808,34966,0
1,383838,0.019208,37449,0
1,391835,0.019608,34592,0
1,399832,0.020008,39086,0
1,404073,0.02022,65801,1
1,407828,0.020408,34876,0
1,408080,0.020421,64949,1
1,415825,0.020808,37842,0
1,423822,0.021208,35529,0
1,428729,0.021454,104185,1
1,428730,0.021454,100048,1
1,428731,0.021454,95748,1
1,428732,0.021454,91485,1
1,428733,0.021454,87109,1
1,428734,0.021454,82712,1
1,428735,0.021454,78568,1
1,428736,0.021454,74314,1
1,428737,0.021454,69842,1
1,428738,0.021454,65365,1
1,431818,0.021609,34239,0
1,439815,0.022009,35598,0
1,441728,0.022105,66013,1
1,447812,0.022409,35768,0
1,455808,0.022809,34546,0
1,463805,0.023209,34604,0
1,471802,0.023609,34852,0
1,474040,0.023721,64288,1
1,479798,0.02401,36161,0
1,487795,0.02441,35529,0
1,495791,0.02481,34928,0
1,502881,0.025165,64824,1
1,503788,0.02521,34141,0
1,506015,0.025321,69383,1
1,506016,0.025322,64760,1
1,511785,0.02561,38852,0
1,519781,0.02601,34295,0
1,527778,0.026411,34344,0
1,535775,0.026811,35744,0
1,539018,0.026973,68691,1
1,543771,0.027211,35330,0
1,551768,0.027611,34511,0
1,559765,0.028011,34548,0
1,563009,0.028174,68767,1
1,563010,0.028174,64182,1
1,563091,0.028178,136255,1
1,563092,0.028178,132028,1
1,563093,0.028178,127762,1
1,563094,0.028178,123440,1
1,563095,0.028178,119027,1
1,563096,0.028178,114654,1
1,563097,0.028178,110548,1
1,563098,0.028178,106367,1
1,563099,0.028178,101851,1
1,563100,0.028178,97382,1
1,563101,0.028178,92939,1
1,563102,0.028178,88758,1
1,563103,0.028178,84412,1
1,563104,0.028178,79943,1
1,563105,0.028178,75589,1
1,563106,0.028178,79737,1
1,563107,0.028178,75211,1
1,563108,0.028178,70642,1
1,563109,0.028179,66067,1
1,565742,0.02831,64368,1
1,565822,0.028314,131589,1
1,565823,0.028314,127399,1
1,565824,0.028314,122949,1
1,565825,0.028314,118729,1
1,565826,0.028314,114395,1
1,565827,0.028315,109969,1
1,565828,0.028315,105796,1
1,565829,0.028315,101597,1
1,565830,0.028315,97132,1
1,565831,0.028315,93119,1
1,565832,0.028315,88753,1
1,565833,0.028315,84326,1
1,565834,0.028315,79854,1
1,565835,0.028315,75549,1
1,565836,0.028315,71231,1
1,565837,0.028315,66986,1
1,567761,0.028411,37091,0
1,575758,0.028812,34524,0
1,583755,0.029212,35410,0
1,591751,0.029612,34027,0
1,596431,0.029846,72120,1
1,596432,0.029846,67711,1
1,599748,0.030012,35044,0
1,607744,0.030412,34049,0
1,611810,0.030616,67930,1
1,615741,0.030812,34123,0
1,623738,0.031212,35333,0
1,631734,0.031613,36765,0
1,639731,0.032013,33979,0
1,647728,0.032413,34497,0
1,655724,0.032813,36403,0
1,663721,0.033213,34174,0
1,671718,0.033613,35721,0
1,679714,0.034014,35656,0
1,687711,0.034414,35014,0
1,695708,0.034814,35749,0
1,703704,0.035214,37259,0
1,711701,0.035614,35226,0
1,719698,0.036014,34359,0
1,720628,0.036061,65457,1
1,727694,0.036415,34185,0
1,733199,0.03669,66764,1
1,735691,0.036815,35219,0
1,743148,0.037188,66048,1
1,743687,0.037215,35073,0
1,751684,0.037615,37394,0
1,759681,0.038015,34229,0
1,767677,0.038415,34687,0
1,775674,0.038815,37947,0
1,783671,0.039216,35562,0
1,791667,0.039616,34683,0
1,799664,0.040016,35112,0
1,807661,0.040416,36732,0
1,810654,0.040566,65590,1
1,815657,0.040816,37348,0
1,823654,0.041216,35399,0
1,831651,0.041617,34927,0
1,839647,0.042017,34973,0
1,847644,0.042417,35245,0
1,855640,0.042817,34727,0
1,863637,0.043217,35579,0
1,865689,0.04332,73031,1
1,865690,0.04332,68332,1
1,871634,0.043617,34439,0
1,879630,0.044018,34568,0
1,887627,0.044418,34154,0
1,895624,0.044818,37111,0
1,903620,0.045218,34987,0
1,911617,0.045618,35881,0
1,911930,0.045634,68712,1
1,911931,0.045634,64256,1
1,919614,0.046018,36701,0
1,927610,0.046419,33921,0
1,935607,0.046819,35758,0
1,942826,0.04718,71216,1
1,942827,0.04718,66723,1
1,943604,0.047219,36024,0
1,951600,0.047619,34962,0
1,959597,0.048019,36651,0
1,967594,0.048419,36308,0
1,968299,0.048455,65933,1
1,968301,0.048455,69284,1
1,968302,0.048455,64771,1
1,975590,0.048819,36018,0
1,983587,0.04922,35879,0
1,984724,0.049277,68221,1
1,991583,0.04962,34794,0
1,999580,0.05002,34704,0
1,1007577,0.05042,43724,0
1,1015573,0.05082,35176,0
1,1023570,0.05122,34942,0
1,1031567,0.051621,35355,0
1,1039563,0.052021,35313,0
1,1047081,0.052397,67061,1
1,1047560,0.052421,36624,0
1,1055557,0.052821,34775,0
1,1063553,0.053221,34845,0
1,1071550,0.053621,36181,0
1,1079547,0.054022,36235,0
1,1087543,0.054422,34492,0
1,1095540,0.054822,34630,0
1,1103536,0.055222,34124,0
1,1111533,0.055622,34392,0
1,1118602,0.055976,66143,1
1,1119530,0.056022,35407,0
1,1127526,0.056423,34635,0
1,1135523,0.056823,34635,0
1,1143520,0.057223,34092,0
1,1151516,0.057623,34997,0
1,1159513,0.058023,36314,0
1,1163213,0.058208,68998,1
1,1163214,0.058208,64331,1
1,1167510,0.058423,35113,0
1,1175506,0.058823,35728,0
1,1177039,0.0589,68567,1
1,1183503,0.059224,35129,0
1,1191500,0.059624,34567,0
1,1199496,0.060024,35308,0
1,1200949,0.060097,67464,1
1,1206946,0.060397,68013,1
1,1207493,0.060424,35358,0
1,1215175,0.060809,67472,1
1,1215489,0.060824,34801,0
1,1223486,0.061224,34266,0
1,1231483,0.061625,34609,0
1,1239479,0.062025,34709,0
1,1247476,0.062425,35104,0
1,1248027,0.062453,66061,1
1,1255473,0.062825,34438,0
1,1263469,0.063225,34902,0
1,1271466,0.063625,35638,0
1,1275522,0.063828,83053,1
1,1275523,0.063828,79009,1
1,1275524,0.063828,74769,1
1,1275525,0.063829,70511,1
1,1275526,0.063829,66285,1
1,1279013,0.064003,69087,1
