rate,percentile,latency_ns
100,50,46470
100,75,47882
100,90,49953
100,95,51209
100,99,60880
100,99.5,62815
100,99.9,66660
100,99.95,69563
100,99.99,71097
100,99.995,71097
100,99.999,71097
100,99.9995,71097
100,99.9999,71097
10000,50,42249
10000,75,43011
10000,90,43919
10000,95,44613
10000,99,46685
10000,99.5,48290
10000,99.9,69952
10000,99.95,163320
10000,99.99,3469682
10000,99.995,4445777
10000,99.999,5238034
10000,99.9995,5352199
10000,99.9999,5450816
200000,50,35876
200000,75,36666
200000,90,37549
200000,95,38202
200000,99,40479
200000,99.5,42922
200000,99.9,50804
200000,99.95,55262
200000,99.99,68409
200000,99.995,84198
200000,99.999,1234270
200000,99.9995,1573279
200000,99.9999,1827272
500000,50,35180
500000,75,36338
500000,90,38061
500000,95,39387
500000,99,44549
500000,99.5,49838
500000,99.9,301926
500000,99.95,705113
500000,99.99,1186432
500000,99.995,1286283
500000,99.999,1404812
500000,99.9995,1432908
500000,99.9999,1481897
1000000,50,39768
1000000,75,41967
1000000,90,44933
1000000,95,47775
1000000,99,61730
1000000,99.5,72107
1000000,99.9,99418
1000000,99.95,120060
1000000,99.99,410964
1000000,99.995,590077
1000000,99.999,3750633
1000000,99.9995,3781027
1000000,99.9999,3828202
2000000,50,37696
2000000,75,39871
2000000,90,42770
2000000,95,45440
2000000,99,57227
2000000,99.5,66685
2000000,99.9,95886
2000000,99.95,126996
2000000,99.99,230643
2000000,99.995,283352
2000000,99.999,435313
2000000,99.9995,462141
2000000,99.9999,483984
